,Category,Verb,Sentence
0,Mémorisation (Remembering),Listez,Listez les capitales des pays d'Europe.
1,Mémorisation (Remembering),Rappelez,Rappelez les capitales des pays d'Europe.
2,Mémorisation (Remembering),Reproduisez,Reproduisez les capitales des pays d'Europe.
3,Mémorisation (Remembering),Nommez,Nommez les capitales des pays d'Europe.
4,Mémorisation (Remembering),Reconnaissez,Reconnaissez les capitales des pays d'Europe.
5,Mémorisation (Remembering),Énumérez,Énumérez les capitales des pays d'Europe.
6,Compréhension (Understanding),Résumez,Résumez la théorie de l'évolution en biologie.
7,Compréhension (Understanding),Interprétez,Interprétez la théorie de l'évolution en biologie.
8,Compréhension (Understanding),Illustrez,Illustrez la théorie de l'évolution en biologie.
9,Compréhension (Understanding),Paraphrasez,Paraphrasez la théorie de l'évolution en biologie.
10,Compréhension (Understanding),Classez,Classez les concepts de la théorie de l'évolution en biologie.
11,Compréhension (Understanding),Clarifiez,Clarifiez la théorie de l'évolution en biologie.
12,Application (Applying),Appliquez,Appliquez la formule pour calculer l'aire d'un cercle.
13,Application (Applying),Mettez en œuvre,Mettez en œuvre la formule pour calculer l'aire d'un cercle.
14,Application (Applying),Exécutez,Exécutez la formule pour calculer l'aire d'un cercle.
15,Application (Applying),Pratiquez,Pratiquez la formule pour calculer l'aire d'un cercle.
16,Application (Applying),Démontrez,Démontrez la formule pour calculer l'aire d'un cercle.
17,Application (Applying),Manipulez,Manipulez la formule pour calculer l'aire d'un cercle.
18,Analyse (Analyzing),Distinguez,Distinguez les caractéristiques des mammifères et des reptiles.
19,Analyse (Analyzing),Décomposez,Décomposez les caractéristiques des mammifères et des reptiles.
20,Analyse (Analyzing),Catégorisez,Catégorisez les caractéristiques des mammifères et des reptiles.
21,Analyse (Analyzing),Comparez,Comparez les caractéristiques des mammifères et des reptiles.
22,Analyse (Analyzing),Organisez,Organisez les caractéristiques des mammifères et des reptiles.
23,Analyse (Analyzing),Examinez,Examinez les caractéristiques des mammifères et des reptiles.
24,Évaluation (Evaluating),Critiquez,Critiquez l'efficacité de cette méthode scientifique.
25,Évaluation (Evaluating),Justifiez,Justifiez l'efficacité de cette méthode scientifique.
26,Évaluation (Evaluating),Vérifiez,Vérifiez l'efficacité de cette méthode scientifique.
27,Évaluation (Evaluating),Arguez,Arguez de l'efficacité de cette méthode scientifique.
28,Évaluation (Evaluating),Jugez,Jugez l'efficacité de cette méthode scientifique.
29,Évaluation (Evaluating),Validez,Validez l'efficacité de cette méthode scientifique.
30,Création (Creating),Concevez,Concevez un plan pour réduire la pollution de l'air.
31,Création (Creating),Composez,Composez un plan pour réduire la pollution de l'air.
32,Création (Creating),Formulez,Formulez un plan pour réduire la pollution de l'air.
33,Création (Creating),Planifiez,Planifiez un plan pour réduire la pollution de l'air.
34,Création (Creating),Synthétisez,Synthétisez un plan pour réduire la pollution de l'air.
35,Création (Creating),Inventez,Inventez un plan pour réduire la pollution de l'air.
